CAMIS,311_complaint_count
41014823,2.0
40364889,1.0
40571896,
50004740,
41331076,
41722632,1.0
40851227,
41664704,1.0
40831075,
50041839,
41637055,
41390799,
40591607,
41664501,2.0
40708213,
40368752,3.0
40570920,
40813994,
40392496,1.0
40396000,
40923544,
40573138,
40655520,2.0
40364863,6.0
41721226,
40835721,9.0
41485121,
40735858,3.0
40572098,
40647953,
40659197,1.0
41680151,1.0
40664907,2.0
41007946,21.0
40635366,
40738920,
41153301,
40514507,3.0
40393519,
40535409,2.0
40376944,6.0
40929097,2.0
40392668,
50018106,1.0
41410214,
40390235,
50040782,
40624802,3.0
40930209,
40383090,2.0
50043260,4.0
41125878,
40515523,3.0
40383825,1.0
41470674,1.0
41223822,5.0
40535399,1.0
41682808,
41611667,
40364518,
40364439,4.0
40394560,
40544958,1.0
40697681,
41478531,
40397780,3.0
40969233,
50059270,1.0
40366643,
50056268,
40711118,
40382367,1.0
41244923,4.0
40369954,1.0
40573309,1.0
40727820,
41372047,3.0
41611748,
41611745,
41611726,
41611725,
41611720,
41611718,
41616896,6.0
40388218,3.0
40389732,
40975524,1.0
40763382,
41327917,
40391594,9.0
40573141,3.0
41481413,1.0
40723269,2.0
40837666,1.0
40599004,
40537686,
40393712,
41322550,
41255453,1.0
50043112,2.0
40368271,
40723673,
40401173,
41251040,
40394401,
40731158,1.0
41214360,
40868400,1.0
40616799,5.0
40662196,2.0
40803254,4.0
40395093,
40563475,8.0
40573715,1.0
40367766,
40608746,5.0
40391154,2.0
40645573,
41273111,
40366473,
50061188,
50047157,
50017043,
41709719,6.0
41250519,
50009217,
41544844,4.0
40700664,
40806791,
40720288,1.0
41145020,
40719059,2.0
50044049,
41300864,1.0
40994007,1.0
40378874,
40864264,
40793198,
40744833,2.0
40763046,
41320866,4.0
41679736,
40398561,
40721417,1.0
40785023,1.0
40364958,
41649154,1.0
40799384,
41300526,3.0
40763786,
40396421,
41266621,1.0
40545543,1.0
40570634,3.0
41715927,
40395055,5.0
40388935,2.0
50037509,
40378970,
40949448,
50055667,1.0
41456472,4.0
40978593,1.0
41672199,
40399620,
40897437,
41561855,
41376871,
40623604,6.0
41388993,2.0
40373656,1.0
40401453,
40380660,1.0
40819315,1.0
40672603,
40654823,3.0
50036114,
50034098,2.0
40367241,3.0
50038465,
40398600,2.0
40377325,
40603807,1.0
40380517,2.0
40943615,
40365644,3.0
50009287,2.0
41072750,1.0
41080675,
40807227,
50056372,
40387357,2.0
50003153,1.0
41427038,
40722846,
40366661,
41601712,1.0
50014763,
50060398,
41230012,2.0
40397791,1.0
41158806,
50000392,
40397159,4.0
40624607,5.0
40399279,3.0
40389994,2.0
50038785,
40569008,1.0
40391060,2.0
50002399,
41103208,
50059924,
50058903,
50046657,
50042451,
50036835,3.0
50032749,
50017240,
50014537,1.0
50010699,
50004304,1.0
41385681,1.0
41238222,1.0
40893443,4.0
40397886,
40367183,1.0
50032739,
41159730,
40669257,1.0
41718923,
40534893,
40379355,
40365288,2.0
40676550,
40401671,1.0
41391961,
40513798,
41585774,
40716625,
40390186,2.0
41567425,
40783353,
40824644,2.0
41589545,
41250435,
40894333,
40370856,
40644352,1.0
50038958,3.0
41574710,
40401556,
41216872,
40365075,1.0
40373669,
40604769,8.0
40550765,
50004704,1.0
40808118,3.0
41159246,
40691569,2.0
40677036,5.0
40790869,
41682864,1.0
40619544,13.0
40401104,
40388578,
41452090,5.0
50043852,4.0
41442084,
40799206,
40757375,
40961653,2.0
41608836,1.0
40648876,
40563526,3.0
41163807,
40368552,
40402172,
40515597,1.0
40920992,1.0
40669697,
40904478,
40591422,
50046251,
40380592,
40606772,3.0
40969077,
40399165,
40383464,
41614161,8.0
41431305,
41219088,
40385461,2.0
50056719,3.0
41084481,3.0
40548766,9.0
40920440,2.0
40685734,2.0
40364389,1.0
41534162,1.0
40369810,3.0
40617746,1.0
40382302,
40367420,1.0
50010504,7.0
40880715,1.0
50015891,
40841272,8.0
41047941,
40661616,2.0
41408069,2.0
50006398,3.0
40609872,
41470133,
40365942,6.0
40912812,2.0
41257427,
50008725,
40511243,6.0
50013774,
41222296,1.0
40393558,1.0
40375108,
40398690,
41637575,4.0
40379628,
40664052,1.0
40365239,
41057286,2.0
40633087,
40574871,7.0
50001821,1.0
40370168,1.0
41511548,
40611024,
41400748,
50013366,
41370589,
41008043,
40741728,
40859224,
40741900,1.0
40829155,2.0
50059249,
40368223,
41496435,4.0
41490544,1.0
40512445,9.0
50036795,1.0
50048097,
40999727,
40387237,2.0
40964282,1.0
40705931,1.0
40823209,1.0
40829674,
41114768,
40804423,
40625346,2.0
50013756,2.0
41297135,
41363296,
50010010,
41688135,5.0
41375578,
40364581,2.0
40611399,
50001262,
40400559,
40369958,
50015958,4.0
41309951,1.0
40593315,
50017443,
40675892,
40873175,
40382395,
50014724,1.0
40365968,
50042072,
40396395,2.0
40794463,
40849391,
40930101,3.0
41166779,5.0
40368374,1.0
41112617,2.0
40397520,3.0
40933757,
40649377,
41307485,
40726044,1.0
41429187,
50055627,
40399007,
40378328,
41376328,
41403341,1.0
50042778,9.0
40927918,
41122841,1.0
41176026,
50040002,
41665255,
41455044,
40689434,2.0
40395079,
40392690,2.0
40384671,
40401912,3.0
41117086,4.0
41581830,2.0
40393725,2.0
40513164,2.0
40397359,2.0
40554360,
40396183,
50044470,2.0
40748959,
41629811,2.0
40367189,
40594962,
41068567,
41292192,2.0
40365166,3.0
41680691,
40544823,
40538766,1.0
40763388,
40513031,2.0
40567533,
41718128,2.0
41570413,1.0
40365387,1.0
40912868,1.0
40736005,1.0
41288201,4.0
40388225,
50012658,
40364335,
50036750,1.0
50050464,1.0
41311297,7.0
40861946,
40661011,
40989220,
40592981,1.0
40396159,1.0
40682609,
40512297,1.0
41001763,
40512868,9.0
40720599,2.0
40801855,3.0
40615672,2.0
40386999,
40561133,2.0
40580298,13.0
40513633,3.0
41675531,2.0
40997599,3.0
40511155,
41530258,
40396020,2.0
41583142,8.0
50011919,1.0
40384340,10.0
50043740,10.0
40399174,
40677553,
40932307,
40646372,
40396906,
40755172,3.0
41472922,
40379304,1.0
40742056,2.0
41658460,7.0
41664978,2.0
41278212,1.0
40597763,
40682813,
40729264,
50051729,3.0
40762853,1.0
40643682,
40850417,
40376735,
40366716,3.0
40513609,5.0
40847325,5.0
40826684,4.0
40938813,1.0
41596546,4.0
40534155,3.0
41422427,
50007345,
40534379,
50045953,1.0
40539007,3.0
40393772,
40384528,2.0
40374277,
50060677,2.0
41350624,
40374974,
41633036,
40751835,
40698274,
40391174,
40559634,2.0
40541030,2.0
40757699,
40546098,2.0
41017547,1.0
40511659,
40737436,2.0
40527001,2.0
50014486,3.0
40562839,4.0
50004379,1.0
41290351,3.0
40681411,4.0
40750343,6.0
40750279,6.0
40528441,1.0
40397797,1.0
40374711,4.0
40703714,
40369869,15.0
41612393,2.0
41610749,1.0
40935628,4.0
40364715,2.0
40716118,1.0
40793030,2.0
40972897,
40589545,1.0
40906490,2.0
40603273,1.0
40720911,
40927017,
41398232,
40400810,
41573997,1.0
50001453,
40676801,13.0
50012302,
40369521,2.0
40367715,
41702681,
40909191,10.0
40394762,1.0
40365264,2.0
40937036,
40785565,
50005627,
40872438,10.0
40396488,
41235245,8.0
50039842,7.0
40929352,2.0
41441571,
40862111,3.0
40365472,3.0
40923811,
40920005,3.0
40397478,2.0
40734467,3.0
40643163,
50058195,1.0
41242146,
40395023,4.0
40394053,4.0
50049372,2.0
40698704,
41704391,2.0
41210127,
40395343,
40577535,2.0
50003270,
41319146,
41212364,
