,CAMIS,_zone,capture_rate_mgp_total_mgp_max_mgp_,capture_rate_paper_total_paper_max_paper_,capture_rate_total_total_recycling_leaves_recycling_max_paper_max_mgp_x100,district,diversion_rate_total_total_recycling_total_waste_,fiscal_month_number,fiscal_year,month_name,report_version,sanicode
0,50063325,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
1,50063271,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
2,50062779,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
3,50061487,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
4,50061368,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
5,50061329,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
6,50061305,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
7,50061237,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
8,50061166,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
9,50061079,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
10,50061071,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
11,50060999,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
12,50060998,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
13,50060681,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
14,50060621,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
15,50060612,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
16,50060261,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
17,50060136,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
18,50060083,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
19,50060044,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
20,50059993,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
21,50059900,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
22,50059199,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
23,50059022,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
24,50058806,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
25,50058751,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
26,50058674,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
27,50058639,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
28,50058493,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
29,50058290,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
30,50058287,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
31,50057998,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
32,50057782,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
33,50057633,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
34,50057459,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
35,50057436,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
36,50057392,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
37,50057276,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
38,50057024,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
39,50057007,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
40,50056983,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
41,50056913,Bronx,29.3783620988,22.7750014843,25.6588461313,BX04,7.63964338341,11,2010,May,Preliminary,BX04
