,CAMIS,topic,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
0,50063325,5,0,0,0,0,0,1,0,0,0,0
1,50063305,3,0,0,0,1,0,0,0,0,0,0
2,50063282,0,1,0,0,0,0,0,0,0,0,0
3,50063280,0,1,0,0,0,0,0,0,0,0,0
4,50063271,0,1,0,0,0,0,0,0,0,0,0
5,50063237,0,1,0,0,0,0,0,0,0,0,0
6,50063209,0,1,0,0,0,0,0,0,0,0,0
7,50063201,0,1,0,0,0,0,0,0,0,0,0
8,50063197,2,0,0,1,0,0,0,0,0,0,0
9,50063189,3,0,0,0,1,0,0,0,0,0,0
10,50063187,3,0,0,0,1,0,0,0,0,0,0
11,50063184,8,0,0,0,0,0,0,0,0,1,0
12,50063178,0,1,0,0,0,0,0,0,0,0,0
13,50063170,8,0,0,0,0,0,0,0,0,1,0
14,50063164,0,1,0,0,0,0,0,0,0,0,0
15,50063156,7,0,0,0,0,0,0,0,1,0,0
16,50063142,7,0,0,0,0,0,0,0,1,0,0
17,50063138,7,0,0,0,0,0,0,0,1,0,0
18,50063108,3,0,0,0,1,0,0,0,0,0,0
19,50063097,0,1,0,0,0,0,0,0,0,0,0
20,50063092,0,1,0,0,0,0,0,0,0,0,0
21,50063075,0,1,0,0,0,0,0,0,0,0,0
22,50063056,0,1,0,0,0,0,0,0,0,0,0
23,50063019,2,0,0,1,0,0,0,0,0,0,0
24,50063017,0,1,0,0,0,0,0,0,0,0,0
25,50062995,0,1,0,0,0,0,0,0,0,0,0
26,50062987,7,0,0,0,0,0,0,0,1,0,0
27,50062985,0,1,0,0,0,0,0,0,0,0,0
28,50062984,2,0,0,1,0,0,0,0,0,0,0
29,50062978,0,1,0,0,0,0,0,0,0,0,0
30,50062967,0,1,0,0,0,0,0,0,0,0,0
31,50062955,4,0,0,0,0,1,0,0,0,0,0
32,50062946,3,0,0,0,1,0,0,0,0,0,0
33,50062943,0,1,0,0,0,0,0,0,0,0,0
34,50062931,3,0,0,0,1,0,0,0,0,0,0
35,50062920,7,0,0,0,0,0,0,0,1,0,0
36,50062915,2,0,0,1,0,0,0,0,0,0,0
37,50062912,6,0,0,0,0,0,0,1,0,0,0
38,50062849,0,1,0,0,0,0,0,0,0,0,0
39,50062848,1,0,1,0,0,0,0,0,0,0,0
40,50062846,4,0,0,0,0,1,0,0,0,0,0
41,50062844,6,0,0,0,0,0,0,1,0,0,0
42,50062824,0,1,0,0,0,0,0,0,0,0,0
43,50062819,7,0,0,0,0,0,0,0,1,0,0
44,50062803,7,0,0,0,0,0,0,0,1,0,0
