,DBA,PHONE,Unnamed: 0,google_categories,google_price_level,google_rating,loc,yelp_categories,yelp_rating,yelp_review_count
0,#1 Chinese Restaurant,9173258805,0.0,,,,"825 W 181ST ST, MANHATTAN, NY, 10033 US",,,
1,#1 GARDEN CHINESE,7188321795,1.0,,,3.5,"221 PROSPECT PARK WEST, BROOKLYN, NY, 11215 US",,,
2,#1 Natural Juice Bar,3479565161,2.0,,,,"685 SENECA AVE, QUEENS, NY, 11385 US",,,
3,#1 SABOR LATINO RESTAURANT,7186532222,3.0,,2.0,3.5,"4120 WHITE PLAINS ROAD, BRONX, NY, 10466 US",,,
4,$1 PIZZA $2 BEER,2122555090,4.0,,,4.4,"95 MACDOUGAL STREET, MANHATTAN, NY, 10012 US",,,
5,''W'' CAFE,2125639444,5.0,,2.0,3.8,"390 5TH AVE, MANHATTAN, NY, 10018 US",,,
6,(LEWIS DRUG STORE) LOCANDA VINI E OLII,7186229202,6.0,,3.0,4.5,"129 GATES AVENUE, BROOKLYN, NY, 11238 US",,,
7,(LIBRARY)  FOUR & TWENTY BLACKBIRDS,3475743474,7.0,,1.0,4.0,"10 GRAND ARMY PLZ, BROOKLYN, NY, 11238 US",,,
8,(PUBLIC FARE) 81st street and central park west (Delacorte Theatre),6467475354,8.0,,,,,,,
9,+ 81 GALLERY NEW YORK,6469984386,9.0,,,,"167 ELIZABETH ST, MANHATTAN, NY, 10012 US",,,
10,.TAO,2128882724,10.0,,3.0,4.2,"92 9TH AVE, MANHATTAN, NY, 10011 US",,,
11,00+CO,2127771608,11.0,,,,"65 2ND AVE, MANHATTAN, NY, 10003 US",,,
12,1 2 3 BURGER SHOT BEER,2123150123,12.0,,2.0,3.7,"738 10 AVENUE, MANHATTAN, NY, 10019 US",,,
13,1 Banana Queen,7187310039,13.0,,,3.4,"6 EAST MT EDEN AVENUE, BRONX, NY, 10452 US",,,
14,1 DARBAR,2126814500,14.0,,2.0,3.8,"152 EAST   46 STREET, MANHATTAN, NY, 10017 US",,,
15,1 EAST 66TH STREET KITCHEN,2128793900,15.0,,,,"1 EAST   66 STREET, MANHATTAN, NY, 10065 US",,,
16,1 HOTEL BROOKLYN BRIDGE,2034227724,16.0,,,4.6,"60 FURMAN ST, BROOKLYN, NY, 11201 US",,,
17,1 OAK,2122421111,17.0,,,2.7,"453 WEST   17 STREET, MANHATTAN, NY, 10011 US",,,
18,1 OR 8,7183842152,18.0,,,,"66 SOUTH    2 STREET, BROOKLYN, NY, 11249 US",,,
19,1 STOP PATTY SHOP,2124917466,19.0,,,4.1,"1708 AMSTERDAM AVENUE, MANHATTAN, NY, 10031 US",,,
20,"1,001 NIGHTS",7186461001,20.0,,2.0,3.6,"35 NEPTUNE AVENUE, BROOKLYN, NY, 11235 US",,,
21,1.5 GALBI RESTAURANT,6463390203,21.0,,,4.4,"15803 NORTHERN BLVD, QUEENS, NY, 11358 US",,,
