,AssessTot,NumFloors,yelp_rating,yelp_review_count,stats.checkinsCount,stats.tipCount,stats.usersCount,311_complaint_count,yrs_since_reno,bldg_age,is_coffee,is_pizza,is_sandwiches,is_chinese,is_hotdogs,is_italian,is_breakfast_brnch,is_newamerican,is_bakeries,is_brgers,is_tradamerican,is_bars,is_mexican,is_donts,is_cafes,is_salad,is_japanese,is_desserts,is_seafood,is_icecream,CD_101,CD_102,CD_103,CD_104,CD_105,CD_106,CD_107,CD_108,CD_109,CD_110,CD_111,CD_112,CD_164,CD_201,CD_202,CD_203,CD_204,CD_205,CD_206,CD_207,CD_208,CD_209,CD_210,CD_211,CD_212,CD_226,CD_227,CD_228,CD_301,CD_302,CD_303,CD_304,CD_305,CD_306,CD_307,CD_308,CD_309,CD_310,CD_311,CD_312,CD_313,CD_314,CD_315,CD_316,CD_317,CD_318,CD_355,CD_356,CD_401,CD_402,CD_403,CD_404,CD_405,CD_406,CD_407,CD_408,CD_409,CD_410,CD_411,CD_412,CD_413,CD_414,CD_480,CD_481,CD_483,CD_501,CD_502,CD_503,CD_595
225,-0.151369693037,-0.130935966512,1.29756516181,-0.44285088003,-0.141999391015,-0.267446726401,-0.173210045724,-0.511584081204,-0.213410327916,-0.0147291442229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,-0.154096241074,-0.561136718747,0.0,0.0,-0.142181017069,-0.267446726401,-0.173314497398,0.0,0.00622149402426,-0.0967198928701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,-0.132523072782,0.471345086617,0.636970690907,-0.460824113161,-0.14213148269,-0.267446726401,-0.173175228499,0.0,-0.213410327916,-0.19042360561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,-0.153827444593,-0.4750965683,0.636970690907,-0.428472293525,0.0,0.0,0.0,-0.511584081204,0.0139278737415,-0.0889112501418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
276,-0.154259911123,-0.389056417853,0.636970690907,0.301240971597,-0.128839757864,-0.182439250015,-0.142327167517,0.0,0.0447533926102,-0.0576766792286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,-0.154172307192,-0.389056417853,0.636970690907,0.0460210611356,-0.132232862773,-0.196607162746,-0.152493797096,0.0,-0.313593264239,-0.0967198928701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,-0.145108278357,-0.130935966512,0.0,0.0,0.0,0.0,0.0,0.0,-0.294327314946,-0.00301618013048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,-0.154277110668,-0.4750965683,1.95815963271,-0.468013406413,-0.142238807177,-0.267446726401,-0.173488583521,0.0,0.00622149402426,-0.0967198928701,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
316,-0.154214975954,-0.389056417853,1.29756516181,-0.263118548719,-0.139819878373,-0.224942988208,-0.166908128074,-0.511584081204,0.0331938230344,-0.069389643321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,-0.15429205238,-0.389056417853,-0.0236237799941,0.110724700407,-0.136979907354,-0.163548699707,-0.159875048708,0.0,-0.0978146321578,-0.202136569702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
