,CAMIS,new_grade,INSPECTION DATE,VIOLATION CODE,SCORE,GRADE,CD,HealthArea,SanitDistr,AssessTot,YearAlter1,YearAlter2,YearBuilt,NumFloors,yelp_rating,yelp_categories,yelp_review_count,stats.checkinsCount,stats.tipCount,stats.usersCount,311_complaint_count,goog_lat,goog_lng,is_coffee,is_pizza,is_sandwiches,is_chinese,is_hotdogs,is_italian,is_breakfast_brnch,is_newamerican,is_bakeries,is_brgers,is_tradamerican,is_bars,is_mexican,is_donts,is_cafes,is_salad,is_japanese,is_desserts,is_seafood,is_icecream,failed,yrs_since_reno,bldg_age
225,50060711,A,03/22/2017,10H,7.0,A,CD_107,HealthArea_3500,SanitDistr_7,-0.151369693037,1988.0,0.0,1910.0,-0.130935966512,1.29756516181,[u'catering'],-0.44285088003,-0.141999391015,-0.267446726401,-0.173210045724,-0.511584081204,40.7850457,-73.9753777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.213410327916,-0.0147291442229
259,50060463,A,03/02/2017,06F,13.0,A,CD_310,HealthArea_7820,SanitDistr_10,-0.154096241074,0.0,0.0,1931.0,-0.561136718747,0.0,0,0.0,-0.142181017069,-0.267446726401,-0.173314497398,0.0,40.617941,-74.010287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00622149402426,-0.0967198928701
266,50060418,A,03/22/2017,06C,9.0,A,CD_106,HealthArea_5000,SanitDistr_6,-0.132523072782,1988.0,0.0,1955.0,0.471345086617,0.636970690907,[u'convenience'],-0.460824113161,-0.14213148269,-0.267446726401,-0.173175228499,0.0,40.7478645,-73.9740324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.213410327916,-0.19042360561
270,50060396,A,03/06/2017,10F,7.0,A,CD_414,HealthArea_3700,SanitDistr_14,-0.153827444593,0.0,0.0,1929.0,-0.4750965683,0.636970690907,[u'bagels'],-0.428472293525,0.0,0.0,0.0,-0.511584081204,40.578888,-73.849352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139278737415,-0.0889112501418
276,50060377,A,03/23/2017,04L,13.0,A,CD_401,HealthArea_400,SanitDistr_1,-0.154259911123,0.0,0.0,1921.0,-0.389056417853,0.636970690907,[u'thai'],0.301240971597,-0.128839757864,-0.182439250015,-0.142327167517,0.0,40.760388,-73.92258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0447533926102,-0.0576766792286
284,50060321,A,03/22/2017,06E,7.0,A,CD_402,HealthArea_720,SanitDistr_2,-0.154172307192,2014.0,0.0,1931.0,-0.389056417853,0.636970690907,[u'ramen'],0.0460210611356,-0.132232862773,-0.196607162746,-0.152493797096,0.0,40.744522,-73.9538029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.313593264239,-0.0967198928701
300,50060196,A,03/13/2017,05D,10.0,A,CD_307,HealthArea_4400,SanitDistr_7,-0.145108278357,2001.0,2009.0,1907.0,-0.130935966512,0.0,0,0.0,0.0,0.0,0.0,0.0,40.6563827,-74.0078518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.294327314946,-0.00301618013048
314,50060115,0,03/22/2017,10F,9.0,A,CD_501,HealthArea_200,SanitDistr_1,-0.154277110668,0.0,0.0,1931.0,-0.4750965683,1.95815963271,[u'mexican'],-0.468013406413,-0.142238807177,-0.267446726401,-0.173488583521,0.0,40.632998,-74.134152,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00622149402426,-0.0967198928701
316,50060093,A,03/22/2017,10F,7.0,A,CD_401,HealthArea_400,SanitDistr_1,-0.154214975954,0.0,0.0,1924.0,-0.389056417853,1.29756516181,"[u'desserts', u'creperies', u'gluten_free']",-0.263118548719,-0.139819878373,-0.224942988208,-0.166908128074,-0.511584081204,40.764589,-73.9169453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0331938230344,-0.069389643321
343,50059972,A,03/16/2017,02B,13.0,A,CD_303,HealthArea_1300,SanitDistr_3,-0.15429205238,0.0,0.0,1958.0,-0.389056417853,-0.0236237799941,[u'indpak'],0.110724700407,-0.136979907354,-0.163548699707,-0.159875048708,0.0,40.6882277,-73.9551275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0978146321578,-0.202136569702
