,CAMIS,google_categories,google_price_level,google_rating
0,50063325,,,
1,50063312,,,
2,50063305,,,
3,50063296,,,
4,50063282,,,
5,50063280,,2.0,4.2
6,50063276,,,
7,50063274,,,5.0
8,50063273,,,
9,50063271,,,
10,50063237,,2.0,3.2
11,50063226,,,4.7
12,50063209,,,3.7
13,50063201,,,
14,50063197,,,
15,50063195,,,4.5
16,50063189,,,
17,50063187,,,
18,50063184,,,
19,50063183,,,
20,50063178,,,
21,50063170,,,
22,50063165,,,4.4
23,50063164,,,5.0
24,50063161,,,
25,50063160,,,
26,50063159,,,4.6
27,50063156,,,2.4
28,50063152,,2.0,2.1
29,50063149,,,4.7
30,50063143,,1.0,4.6
31,50063142,,,
32,50063138,,,5.0
33,50063130,,2.0,4.9
34,50063129,,,
35,50063127,,,
36,50063125,,,
37,50063123,,,
38,50063119,,,
39,50063114,,,
40,50063108,,,5.0
41,50063097,,,
42,50063092,,,
43,50063089,,,4.3
44,50063075,,,
45,50063073,,,
46,50063067,,,
47,50063056,,,
48,50063054,,,
49,50063020,,,
50,50063019,,,
51,50063017,,,3.9
52,50063015,,,
53,50063012,,,4.0
54,50063001,,,
55,50062995,,2.0,4.3
56,50062987,,,
57,50062985,,,4.6
58,50062984,,2.0,
59,50062978,,,
60,50062967,,,
61,50062955,,,
62,50062946,,,
63,50062943,,,
64,50062941,,,
65,50062931,,,
66,50062921,,,
67,50062920,,,
68,50062915,,,
69,50062913,,2.0,4.3
70,50062912,,,
71,50062911,,,4.1
72,50062908,,2.0,3.3
73,50062903,,,
74,50062900,,,5.0
75,50062897,,,
76,50062886,,,
77,50062880,,,
78,50062879,,,
79,50062861,,,
80,50062849,,,
81,50062848,,,
82,50062846,,,4.0
83,50062844,,,
84,50062835,,,
85,50062824,,,
86,50062821,,,
87,50062819,,,
88,50062815,,1.0,4.7
89,50062803,,,
90,50062799,,,
91,50062791,,2.0,3.7
92,50062787,,3.0,4.1
93,50062779,,,
94,50062755,,,
95,50062750,,,
96,50062748,,,
97,50062747,,,
98,50062743,,,
99,50062741,,,
100,50062740,,,5.0
101,50062739,,,
102,50062738,,,
103,50062737,,,
104,50062733,,,
105,50062721,,,5.0
106,50062717,,,
107,50062711,,,5.0
108,50062710,,,3.8
109,50062685,,,
110,50062677,,,
111,50062676,,,4.7
112,50062674,,2.0,4.1
113,50062671,,,
114,50062670,,,
115,50062669,,,
116,50062667,,,
117,50062665,,,
118,50062663,,,
119,50062660,,2.0,4.4
120,50062655,,1.0,4.4
121,50062650,,,4.3
122,50062648,,,
123,50062645,,2.0,3.7
124,50062639,,,
125,50062635,,,
126,50062609,,,
127,50062605,,,
128,50062592,,,
129,50062588,,1.0,3.2
130,50062581,,,
131,50062573,,,
132,50062567,,,
133,50062563,,,
134,50062555,,,4.6
135,50062554,,,
136,50062538,,,
137,50062536,,,
138,50062530,,,
139,50062525,,,
140,50062519,,,
141,50062503,,,
142,50062488,,,1.0
143,50062487,,,
144,50062476,,,
145,50062463,,,
146,50062461,,,
147,50062457,,1.0,4.1
148,50062450,,,
149,50062439,,,
150,50062438,,,
151,50062426,,,
152,50062409,,,3.4
153,50062391,,,
154,50062385,,,
155,50062379,,,
156,50062378,,3.0,4.6
157,50062377,,,
158,50062365,,,4.0
159,50062351,,,3.6
160,50062350,,,
161,50061577,,,
162,50061574,,,
163,50061573,,,4.2
164,50061571,,,4.2
165,50061570,,2.0,
166,50061569,,,4.2
167,50061559,,,4.6
168,50061539,,,
169,50061537,,2.0,4.3
170,50061526,,,
171,50061520,,,
172,50061519,,1.0,3.6
173,50061507,,,
174,50061502,,,
175,50061501,,,
176,50061487,,2.0,4.2
177,50061477,,,
178,50061476,,,
179,50061475,,,3.6
180,50061469,,,
181,50061463,,,
182,50061461,,,
183,50061459,,,4.2
184,50061457,,,
185,50061456,,,4.6
186,50061452,,,
187,50061449,,,4.1
188,50061446,,,
189,50061445,,,
190,50061441,,,
191,50061440,,,
192,50061438,,,
193,50061432,,1.0,3.9
194,50061417,,,
195,50061416,,,
196,50061412,,,
197,50061410,,2.0,3.7
198,50061406,,,
199,50061395,,,
200,50061393,,,
201,50061389,,,4.1
202,50061387,,,
203,50061386,,,3.7
204,50061368,,,4.8
205,50061366,,,3.7
206,50061359,,,4.1
207,50061357,,,
208,50061352,,,
209,50061344,,,5.0
210,50061335,,,
211,50061329,,,
212,50061322,,,5.0
213,50061316,,,4.0
214,50061305,,,4.8
215,50061303,,,
216,50061299,,,4.0
217,50061298,,,4.4
218,50061297,,,
219,50061296,,,3.3
220,50061295,,,
221,50061287,,,4.6
222,50061283,,3.0,4.7
223,50061282,,2.0,4.2
224,50061281,,2.0,4.3
225,50061278,,,
226,50061258,,,
227,50061246,,,5.0
228,50061244,,,4.2
229,50061237,,1.0,4.1
230,50061236,,,5.0
231,50061235,,,5.0
232,50061233,,1.0,4.1
233,50061230,,2.0,4.0
234,50061229,,,
235,50061226,,1.0,3.1
236,50061215,,,
237,50061214,,,3.5
238,50061213,,,
239,50061211,,,3.7
240,50061199,,,5.0
241,50061193,,,
242,50061192,,,5.0
243,50061190,,2.0,3.3
244,50061189,,,5.0
245,50061188,,,5.0
246,50061185,,,4.6
247,50061181,,,
248,50061178,,,4.6
249,50061177,,,
250,50061175,,,
251,50061174,,,4.8
252,50061173,,,
253,50061166,,,4.8
254,50061165,,,
255,50061164,,,5.0
256,50061163,,,4.2
257,50061160,,,
258,50061159,,,
259,50061149,,,
260,50061148,,,
261,50061144,,,
262,50061140,,,4.3
263,50061138,,,3.8
264,50061136,,,
265,50061134,,1.0,5.0
266,50061132,,,
267,50061131,,,
268,50061130,,,4.5
269,50061127,,,4.5
270,50061123,,1.0,4.1
271,50061117,,3.0,4.5
272,50061116,,,4.2
273,50061114,,,
274,50061111,,,1.0
275,50061103,,,
276,50061087,,,
277,50061080,,1.0,2.9
278,50061079,,,
279,50061078,,,
280,50061077,,,3.9
281,50061076,,2.0,4.1
282,50061072,,,4.3
283,50061071,,,
284,50061069,,,4.2
285,50061068,,,
286,50061065,,,5.0
287,50061064,,,3.3
288,50061063,,,
289,50061062,,1.0,3.8
290,50061061,,,3.0
291,50061060,,,5.0
292,50061048,,1.0,3.9
293,50061047,,,
294,50061042,,,5.0
295,50061036,,1.0,3.2
296,50061033,,,
297,50061032,,,3.7
298,50061031,,,
299,50061030,,,
300,50061029,,,
301,50061025,,1.0,3.2
302,50061024,,2.0,4.1
303,50061023,,,
304,50061022,,,
305,50061007,,,4.4
306,50061005,,2.0,4.6
307,50061001,,2.0,4.4
308,50060999,,2.0,
309,50060998,,2.0,4.2
310,50060997,,,
311,50060989,,,
312,50060984,,,
313,50060981,,,3.4
314,50060976,,,
315,50060972,,,5.0
316,50060971,,,3.9
317,50060968,,,
318,50060965,,,
319,50060964,,,
320,50060958,,1.0,4.2
321,50060954,,,4.2
322,50060947,,,4.7
323,50060943,,,4.9
324,50060936,,,
325,50060932,,,
326,50060927,,,
327,50060926,,,
328,50060922,,,
329,50060918,,,4.5
330,50060917,,2.0,4.5
331,50060916,,,
332,50060915,,2.0,4.0
333,50060913,,,
334,50060908,,,3.8
335,50060904,,,
336,50060892,,,
337,50060889,,,
338,50060885,,,5.0
339,50060883,,,
340,50060880,,,
341,50060875,,2.0,3.7
342,50060865,,,4.5
343,50060864,,1.0,4.3
344,50060863,,,4.8
345,50060861,,,
346,50060858,,,
347,50060848,,2.0,3.9
348,50060846,,,4.1
349,50060844,,,
350,50060826,,1.0,
351,50060822,,,
352,50060821,,,4.7
353,50060814,,,
354,50060813,,1.0,
355,50060811,,,
356,50060808,,,5.0
357,50060807,,,3.7
358,50060802,,,5.0
359,50060798,,,
360,50060797,,1.0,3.1
361,50060796,,,4.0
362,50060786,,1.0,3.2
363,50060784,,1.0,3.5
364,50060763,,,
365,50060762,,,5.0
366,50060760,,,5.0
367,50060759,,2.0,3.3
368,50060757,,2.0,3.3
369,50060751,,,4.0
370,50060746,,,
371,50060739,,,
372,50060724,,,
373,50060722,,,
374,50060720,,2.0,3.7
375,50060716,,,
376,50060711,,,
377,50060710,,,
378,50060708,,,5.0
379,50060705,,,
380,50060700,,,5.0
381,50060695,,,
382,50060692,,,
383,50060687,,,4.7
384,50060686,,,4.6
385,50060685,,,
386,50060681,,,
387,50060679,,,
388,50060677,,2.0,4.2
389,50060675,,,
390,50060663,,,4.3
391,50060648,,,
392,50060631,,,
393,50060627,,,
394,50060624,,,4.4
395,50060623,,,
396,50060621,,,
397,50060617,,,4.8
398,50060616,,,3.0
399,50060614,,2.0,4.4
400,50060613,,,3.6
401,50060612,,,
402,50060604,,,3.9
403,50060603,,2.0,4.1
404,50060601,,,5.0
405,50060598,,,
406,50060597,,,
407,50060596,,,
408,50060593,,,5.0
409,50060589,,2.0,3.4
410,50060559,,,3.6
411,50060557,,,5.0
412,50060551,,2.0,4.4
413,50060535,,,5.0
414,50060534,,3.0,4.3
415,50060531,,,3.5
416,50060529,,,
417,50060528,,,
418,50060527,,,
419,50060526,,,
420,50060525,,,
421,50060523,,,5.0
422,50060521,,,2.6
423,50060517,,,4.0
424,50060503,,2.0,3.8
425,50060498,,,
426,50060497,,,
427,50060496,,,4.8
428,50060495,,1.0,3.3
429,50060484,,,5.0
430,50060482,,,4.0
431,50060480,,,
432,50060479,,,4.2
433,50060478,,,5.0
434,50060474,,2.0,4.5
435,50060472,,,
436,50060467,,,
437,50060466,,1.0,4.4
438,50060464,,,
439,50060463,,,
440,50060461,,,
441,50060460,,,
442,50060455,,1.0,5.0
443,50060452,,,
444,50060443,,,
445,50060439,,,4.3
446,50060435,,,4.3
447,50060433,,,
448,50060432,,,
449,50060430,,,5.0
450,50060428,,,4.5
451,50060427,,,4.1
452,50060424,,,3.9
453,50060422,,,
454,50060421,,,5.0
455,50060419,,,5.0
456,50060418,,,5.0
457,50060417,,,
458,50060414,,,
459,50060398,,,
460,50060396,,,4.9
461,50060390,,,
462,50060387,,1.0,3.8
463,50060385,,,
464,50060384,,2.0,4.3
465,50060382,,,3.9
466,50060381,,,
467,50060377,,2.0,4.3
468,50060374,,,5.0
469,50060371,,1.0,3.8
470,50060368,,,
471,50060363,,,4.8
472,50060360,,,5.0
473,50060358,,,
474,50060357,,,
475,50060346,,,5.0
476,50060336,,,4.1
477,50060330,,1.0,4.4
478,50060329,,,
479,50060323,,,
480,50060322,,3.0,4.4
481,50060321,,,4.3
482,50060318,,,4.0
483,50060317,,,
484,50060316,,3.0,4.7
485,50060315,,,4.2
486,50060312,,,
487,50060308,,,5.0
488,50060299,,1.0,4.2
489,50060296,,,2.5
490,50060293,,,
491,50060290,,,
492,50060283,,,
493,50060282,,,
494,50060281,,1.0,4.7
495,50060268,,2.0,3.0
496,50060267,,2.0,3.9
497,50060266,,,2.7
498,50060262,,,
499,50060261,"[[u'cafe', u'food', u'store', u'point_of_interest', u'establishment']]",,2.6
500,50060258,,,
501,50060255,,1.0,2.9
502,50060249,,,3.7
503,50060246,,,4.5
504,50060240,,,2.1
505,50060234,,,4.7
506,50060232,,,4.3
507,50060230,,,4.2
508,50060226,,,
509,50060223,,,
510,50060220,,1.0,4.4
511,50060215,,,
512,50060214,,,3.8
513,50060211,,,2.9
514,50060205,,,
515,50060202,,,4.0
516,50060200,,,2.4
517,50060197,,,3.6
