,CAMIS,_zone,capture_rate_mgp_total_mgp_max_mgp_,capture_rate_paper_total_paper_max_paper_,capture_rate_total_total_recycling_leaves_recycling_max_paper_max_mgp_x100,district,diversion_rate_total_total_recycling_total_waste_,fiscal_month_number,fiscal_year,month_name,report_version,sanicode
0,50063325,Manhattan,72.9526170851,37.3798143002,45.9472895571,MN04,23.1228461943,11,2010,May,Preliminary,M04
1,50063271,Manhattan,72.9526170851,37.3798143002,45.9472895571,MN04,23.1228461943,11,2010,May,Preliminary,M04
2,50062779,Manhattan,72.9526170851,37.3798143002,45.9472895571,MN04,23.1228461943,11,2010,May,Preliminary,M04
3,50061487,Manhattan,72.9526170851,37.3798143002,45.9472895571,MN04,23.1228461943,11,2010,May,Preliminary,M04
4,50061368,Manhattan,72.9526170851,37.3798143002,45.9472895571,MN04,23.1228461943,11,2010,May,Preliminary,M04
5,50061329,Manhattan,72.9526170851,37.3798143002,45.9472895571,MN04,23.1228461943,11,2010,May,Preliminary,M04
6,50061305,Manhattan,72.9526170851,37.3798143002,45.9472895571,MN04,23.1228461943,11,2010,May,Preliminary,M04
7,50061237,Manhattan,72.9526170851,37.3798143002,45.9472895571,MN04,23.1228461943,11,2010,May,Preliminary,M04
8,50061166,Manhattan,72.9526170851,37.3798143002,45.9472895571,MN04,23.1228461943,11,2010,May,Preliminary,M04
9,50061079,Manhattan,72.9526170851,37.3798143002,45.9472895571,MN04,23.1228461943,11,2010,May,Preliminary,M04
10,50061071,Manhattan,72.9526170851,37.3798143002,45.9472895571,MN04,23.1228461943,11,2010,May,Preliminary,M04
11,50060999,Manhattan,72.9526170851,37.3798143002,45.9472895571,MN04,23.1228461943,11,2010,May,Preliminary,M04
12,50060998,Manhattan,72.9526170851,37.3798143002,45.9472895571,MN04,23.1228461943,11,2010,May,Preliminary,M04
13,50060681,Manhattan,72.9526170851,37.3798143002,45.9472895571,MN04,23.1228461943,11,2010,May,Preliminary,M04
14,50060621,Manhattan,72.9526170851,37.3798143002,45.9472895571,MN04,23.1228461943,11,2010,May,Preliminary,M04
15,50060612,Manhattan,72.9526170851,37.3798143002,45.9472895571,MN04,23.1228461943,11,2010,May,Preliminary,M04
16,50060261,Manhattan,72.9526170851,37.3798143002,45.9472895571,MN04,23.1228461943,11,2010,May,Preliminary,M04
17,50060136,Manhattan,72.9526170851,37.3798143002,45.9472895571,MN04,23.1228461943,11,2010,May,Preliminary,M04
18,50060083,Manhattan,72.9526170851,37.3798143002,45.9472895571,MN04,23.1228461943,11,2010,May,Preliminary,M04
